A0JLT2,P35558
P04004,P05106
P04035,Q9Y478
P04035,O43741
P04035,Q9UGJ0
P04035,P54619
P04035,Q13131
P04035,P54646
P04035,Q9UGI9
P04049,P28482
P04049,P41240
P04049,O00459
P04049,P19838
P04049,P27361
P04049,P05129
P04049,P42336
P04049,P15056
P04049,P42338
P04049,P10398
P04049,P02675
P04049,Q02156
P04049,P17612
P04049,P02679
P04049,P02751
P04049,P12931
P04049,O00329
P04049,Q05655
P04049,P01112
P04049,P17252
P04049,P27986
P04049,P31749
P04049,P05106
P04070,Q9UNN8
P04070,P05121
P04070,P00488
P04070,P14770
P04070,P02675
P04070,P01023
P04070,P07359
P04070,P02679
P04070,P05160
P04070,P07204
P04070,P05120
P04070,P01009
P04085,P16234
P04085,P09619
P04085,P42336
P04085,P23458
P04085,P27986
P04141,P32927
P04141,P15509
P04150,P42336
P04150,P04083
P04150,P01574
P04150,P01375
P04150,P27986
P04156|F7VJQ1,P06241
P04180,P02647
P04233,P07858
P04271,P19838
P04271,Q00653
P04275,P06756
P04275,P14770
P04275,P07359
P04275,P00742
P04275,P05106
P04626,O00459
P04626,P42336
P04626,P01133
P04626,P42338
P04626,P23458
P04626,P12931
P04626,O00329
P04626,P27986
P04628,P49841
P04629,O00459
P04629,P42336
P04629,P42338
P04629,P01138
P04629,O15111
P04629,O00329
P04629,P27986
P04629,O14920
P04632,Q15078
P04632,P63000
P04632,P68133
P04632,P12931
P04632,P05556
P04637,P28482
P04637,Q7LG56
P04637,P27361
P04637,Q13315
P04637,O14746
P04637,P78527
P04637,Q05513
P04637,P17936
P04637,P10415
P04637,P38936
P04637,P29466
P04637,O14727
P04637,P31749
P04637,P08183
P04792,P99999
P04792,P49137
P04839,P19320
P04839,P63000
P04899,P01730
P04899,P28482
P04899,P41143
P04899,P60880
P04899,O75899
P04899,P27361
P04899,P51681
P04899,P07550
P04899,Q9H244
P04899,P30559
P04899,P06239
P04899,P13945
P04899,P30874
P04899,P48736
P04899,P14416
P04899,P08588
P04899,P21554
P04899,O60840
P04899,Q9UBS5
P04899,P24530
P04899,P01308
P04899,P61073
P04899,P01112
P05000,P17181
P05000,P48551
P05013,P17181
P05013,P23458
P05013,P01574
P05014,P17181
P05014,P23458
P05014,P01574
P05015,P17181
P05015,P23458
P05015,P01574
P05019,P04049
P05019,P42336
P05019,P06213
P05019,P17936
P05019,P27986
P05067,P00740
P05067,P19838
P05067,P04406
P05067,Q00653
P05106,P04004
P05106,P62330
P05106,P12931
P05107,P01024
P05107,Q14289
P05112,P09601
P05112,P13500
P05112,P01584
P05112,P00488
P05112,P21397
P05112,P23458
P05112,P02751
P05112,P31785
P05112,P09917
P05112,P04083
P05112,P01375
P05112,P11142
P05112,P16050
P05112,Q96RQ9
P05113,P32927
P05120,P00750
P05120,P04070
P05120,P00747
P05120,P00749
P05121,P00750
P05121,P04070
P05121,P00747
P05121,P00749
P05129,P28482
P05129,P04049
P05129,P27361
P05129,P19634
P05129,Q01959
P05129,P15056
P05129,P14598
P05129,P10398
P05129,P01100
P05129,P42574
P05129,P25098
P05129,O60733
P05129,P42345
P05129,Q9GZT9
P05129,P01112
P05129,P07948
P05129,Q96KS0
P05141,Q02156
P05154,P04070
P05154,P00488
P05154,P14770
P05154,P02675
P05154,P00734
P05154,P07359
P05154,P02679
P05154,P05160
P05155,P00748
P05155,P02746
P05155,P02747
P05155,P02745
P05155,P09871
P05156,P01024
P05160,P00734
P05198,P18848
P05230,P08620
P05230,P09038
P05230,P11362
P05230,P01112
P05231,P28482
P05231,P19838
P05231,P27361
P05231,P23458
P05231,P05412
P05305,P08253
P05305,P14780
P05305,P24530
P05305,P01112
P05362,P20701
P05362,P05107
P05412,P28482
P05412,P09601
P05412,P25963
P05412,P01137
P05412,P13500
P05412,P24385
P05412,P01579
P05412,Q08426
P05412,P02647
P05412,P02708
P05412,P27361
P05412,P01584
P05412,P50416
P05412,P51681
P05412,Q15067
P05412,P01100
P05412,P11229
P05412,P17612
P05412,P35228
P05412,P00403
P05412,P46939
P05412,P02652
P05412,P48163
P05412,P12931
P05412,P01574
P05412,P38936
P05412,P01375
P05412,Q08257
P05412,P16435
P05412,P09210
P05412,P00338
P05412,P01106
P05546,P00488
P05546,P14770
P05546,P02675
P05546,P00734
P05546,P07359
P05546,P02679
P05546,P05160
P05556,P04004
P05556,P42336
P05556,P19320
P05556,P17612
P05556,P42574
P05556,P63000
P05556,P12931
P05556,P60953
P05556,P27986
P06213,P42336
P06213,P01133
P06213,P42338
P06213,O00329
P06213,P01308
P06239,P14784
P06239,P60568
P06239,P43403
P06239,P51692
P06239,P23458
P06239,P06241
P06239,P31785
P06239,P01589
P06241,O00459
P06241,P15153
P06241,Q99835
P06241,P42336
P06241,P43403
P06241,P42338
P06241,P51692
P06241,P06239
P06241,P63000
P06241,O00329
P06241,P60953
P06241,Q00535
P06241,P27986
P06241,P07947
P06396,P99999
P06400,P24385
P06400,P11802
P06400,Q00534
P06400,O14746
P06400,P36873
P06400,P02818
P06400,P06493
P06401,P28482
P06401,O00459
P06401,P27361
P06401,P42336
P06401,P42338
P06401,O00329
P06401,P27986
P06493,P50613
P06493,P31323
P06493,P17302
P06493,Q02156
P06493,P54619
P06493,P12931
P06681,P01024
P06681,P02746
P06681,P02747
P06681,P02745
P06681,P09871
P06729,P42336
P06729,P31323
P06729,P43405
P06729,P10644
P06729,P27986
P06756,P04004
P06756,P12931
P06899,P24385
P06899,P07288
P06899,P07359
P06899,P10415
P06899,P01106
P07093,P00488
P07093,P14770
P07093,P07359
P07093,P05160
P07196,P00441
P07204,P04070
P07204,P00734
P07237,P02647
P07237,Q86YB8
P07237,P02652
P07237,Q16665
P07333,P01112
P07339,P01019
P07355,P00750
P07355,P00747
P07357,P01031
P07357,P07358
P07358,P01031
P07358,P07357
P07384,P42336
P07384,Q15078
P07384,P63000
