A0JLT2,P35558
P38936,P63208
P38936,P11802
P38936,Q00534
P38936,P42574
P38936,P12004
P38936,P06493
P38936,P31749
P39060,P08253
P39060,P45452
P39060,P14780
P39905,P01112
P40145,Q05655
P40189,P23458
P40199,P08648
P40199,P02751
P40199,P05556
P40238,P42336
P40238,P51692
P40238,P27986
P40259,P42345
P40259,P43405
P40337,Q16665
P40424,P17612
P40763,P28482
P40763,P08253
P40763,P01137
P40763,P24385
P40763,P36888
P40763,P27361
P40763,P09038
P40763,P10721
P40763,P08254
P40763,P17676
P40763,P01100
P40763,P03956
P40763,P35228
P40763,P07900
P40763,P23458
P40763,P35354
P40763,P14780
P40763,P80188
P40763,P11309
P40763,P12931
P40763,P31785
P40763,P10415
P40763,P01189
P40763,P38936
P40763,P27986
P40763,Q16665
P40763,P31749
P40763,P01106
P40818,P00533
P40933,P14784
P40933,P31785
P41002,P63208
P41143,P63096
P41159,Q9Y478
P41159,O43741
P41159,P02741
P41159,Q9UGJ0
P41159,P54619
P41159,Q13131
P41159,P54646
P41161,P01579
P41161,P51681
P41181,P17612
P41240,P42336
P41240,P11274
P41240,P06239
P41240,P12931
P41240,P27986
P41240,P07948
P41279,P19838
P41279,P31749
P41567,P41091
P41597,P13500
P41732,P48058
P41732,P42262
P41732,P42261
P41732,P42263
P41743,P15153
P41743,P63000
P41743,P60953
P42081,P42336
P42081,P06239
P42081,P27986
P42224,P28482
P42224,P27361
P42224,P17181
P42224,P23458
P42224,P48551
P42226,P41143
P42226,P23458
P42226,P31785
P42229,P14784
P42229,P24385
P42229,P36888
P42229,P00533
P42229,P10721
P42229,P11274
P42229,P01100
P42229,P23458
P42229,P00519
P42229,P31785
P42229,P12004
P42229,P01589
P42261,P17612
P42261,P07948
P42262,P17612
P42262,P07948
P42263,P07948
P42336,P36888
P42336,P15153
P42336,P04049
P42336,P09619
P42336,P35968
P42336,P10827
P42336,P43403
P42336,P00533
P42336,P10721
P42336,P06213
P42336,P49841
P42336,P06401
P42336,P06241
P42336,P63000
P42336,P42345
P42336,P12931
P42336,P43405
P42336,Q05513
P42336,Q9UM73
P42336,Q05655
P42336,P10828
P42336,P60953
P42336,P16220
P42336,P11362
P42336,Q08881
P42336,P01112
P42336,P04629
P42336,P31749
P42336,P01106
P42336,Q06187
P42338,P36888
P42338,P15153
P42338,P04049
P42338,P09619
P42338,P35968
P42338,P10827
P42338,P43403
P42338,P00533
P42338,P10721
P42338,P06213
P42338,P49841
P42338,P06401
P42338,P06241
P42338,P63000
P42338,P42345
P42338,P12931
P42338,P43405
P42338,Q05513
P42338,Q9UM73
P42338,Q05655
P42338,P10828
P42338,P60953
P42338,P11362
P42338,Q08881
P42338,P01112
P42338,P04629
P42338,P31749
P42345,O00459
P42345,Q15382
P42345,P05129
P42345,P42336
P42345,P42338
P42345,Q13131
P42345,P54646
P42345,O00329
P42345,P17252
P42345,P27986
P42345,P31749
P42566,P25103
P42566,P07550
P42566,P08172
P42574,P05129
P42574,P99999
P42574,P78527
P42574,P68133
P42574,P09874
P42574,P98170
P42574,P38936
P42574,P17252
P42574,O14727
P42684,P15153
P42684,P63000
P42702,P23458
P42704,P99999
P42768,P60953
P42771|Q8N726,P24385
P42771|Q8N726,P11802
P42771|Q8N726,P42336
P42771|Q8N726,Q00534
P42771|Q8N726,Q13547
P42771|Q8N726,P01112
P42771|Q8N726,P27986
P42771|Q8N726,P01106
P42772,P24385
P42772,P11802
P42772,Q00534
P42772,P01106
P42773,P24385
P42773,P11802
P42773,Q00534
P42830,P25024
P42858,Q14643
P43026,Q16671
P43034,Q96GD4
P43034,P36873
P43115,P63096
P43146,P42574
P43146,P12931
P43403,O00459
P43403,P42336
P43403,P42338
P43403,P06239
P43403,P06241
P43403,O00329
P43403,P27986
P43405,O00459
P43405,P42336
P43405,P12318
P43405,P42338
P43405,P51692
P43405,P01100
P43405,P05412
P43405,P12931
P43405,O00329
P43405,P01112
P43405,P27986
P43405,P07948
P43405,Q06187
P43490,P04839
P43694,P68133
P43699,P12644
P43699,P07949
P45880,Q02156
P45983,P11233
P45983,P28482
P45983,P19838
P45983,P15153
P45983,P27361
P45983,Q04759
P45983,P15336
P45983,P49585
P45983,Q02156
P45983,P01100
P45983,P06401
P45983,P10636
P45983,Q92731
P45983,P63000
P45983,P05412
P45983,Q9Y5K3
P45983,P17936
P45983,Q05655
P45983,P10415
P45983,P60953
P45983,P38936
P45983,P03372
P45983,P01112
P45983,P08183
P45984,P11233
P45984,P19838
P45984,P15153
P45984,Q04759
P45984,P15336
P45984,P49585
P45984,Q02156
P45984,P01100
P45984,P06401
P45984,Q92731
P45984,P63000
P45984,P05412
P45984,Q9Y5K3
P45984,Q05655
P45984,P10415
P45984,P60953
P45984,P03372
P45984,P01112
P45985,P15153
P45985,P63000
P45985,P17252
P45985,P31749
P46020,P36873
P46060,Q96GD4
P46060,P36873
P46108,P00533
P46108,P00519
P46108,P42684
P46109,O00459
P46109,P42336
P46109,P00533
P46109,P11274
P46109,P63000
P46109,P00519
P46109,P42684
P46109,P27986
P46527,P24385
P46527,P63208
P46527,P11802
P46527,Q00534
P46527,P62745
P46527,O14746
P46527,P07900
P46527,P63000
P46527,P31749
P46734,P15153
P46734,P63000
P46734,P01375
P46934,P07948
P46937,P36873
P46937,P02818
P46940,P28482
P46940,P15153
P46940,P63000
P46940,P60953
P47755,P04150
P47755,P06401
P47755,P07900
P47755,P08238
P47755,P10275
P47756,P04150
P47756,P06401
P47756,P07900
P47756,P08238
P47756,P10275
P47813,P41091
P47974,P49137
P48059,P31749
P48061,P63096
P48061,P61073
P48061,P01112
P48357,Q9Y478
P48357,O43741
P48357,Q9UGJ0
P48357,P54619
P48357,Q13131
P48357,P54646
P48431,P09038
P48436,P17612
P48454,Q01668
P48454,P29475
P48551,P01579
P48551,P23458
P48551,P01574
P48552,Q08426
P48552,P02647
P48552,P50416
P48552,Q15067
P48552,P02652
P48552,P48163
P48729,Q99835
P48730,Q99835
P48730,P17302
P48730,Q15078
P48730,P49841
P48730,Q00535
P48736,P63096
P48736,P31749
P49005,P12004
P49006,Q02156
P49006,Q05655
P49023,P35968
P49023,P42336
P49023,P62330
P49023,P63000
P49023,P12931
P49023,P60953
P49023,P27986
P49137,P18848
P49336,P35558
P49407,Q99835
P49407,P01112
P49450,Q96GD4
P49450,P36873
P49454,Q96GD4
P49454,P36873
P49459,P00750
P49459,Q13363
P49459,P00749
P49585,P28482
P49585,P27361
P49662,P29466
P49674,Q99835
P49674,P49841
P49711,P01106
P49715,P36888
P49736,P56282
P49736,Q14181
P49736,Q07864
P49736,Q9NRF9
P49736,Q9NR33
P49758,P63096
P49765,P17948
P49767,P35916
P49767,P35968
P49767,P17948
P49768,P18850
P49770,P41091
P49771,P36888
P49790,P56524
P49790,Q9UBN7
P49790,Q13547
P49790,Q9UKV0
P49792,P56524
P49792,Q96GD4
P49792,Q9UBN7
P49792,P36873
P49792,Q13547
P49792,Q9UKV0
P49795,P63096
P49796,P63096
P49798,P63096
P49802,P63096
P49810,P18850
P49815,P28482
P49815,Q9Y478
P49815,O43741
P49815,Q15382
P49815,P27361
P49815,P49841
P49815,Q13131
P49815,P42345
P49815,P54646
P49815,P51812
P49815,O14920
P49815,Q15418
P49815,P31749
P49840,P31749
P49841,O00459
P49841,P24385
P49841,P04070
P49841,P11802
P49841,P42336
P49841,Q00534
P49841,O60264
P49841,P42338
P49841,P17612
P49841,P18848
P49841,P10636
P49841,P05412
P49841,O00329
P49841,Q05513
P49841,P16220
P49841,P27986
P49841,P31749
P49841,P01106
P49913,P19838
P49913,P05412
P49918,P63208
P49959,Q13315
P50052,P42336
P50052,P27986
P50148,P46663
P50148,P30968
P50148,O14842
P50148,P20309
P50148,P41595
P50148,P28335
P50148,P32238
P50148,P37288
P50148,P21918
P50148,P41594
P50148,P11229
P50148,P48050
P50148,P35368
P50148,P41231
P50148,P25101
P50148,P30559
P50148,O60733
P50148,P63096
P50148,P47901
P50148,P47712
P50148,P24530
P50148,P25100
P50148,P35348
P50148,P08912
P50148,Q9UNX9
P50148,P21728
P50148,P35367
P50148,P47871
P50148,P21731
P50148,P01112
P50148,P28223
P50148,Q14500
P50150,Q01668
P50150,P54284
P50150,Q08289
P50150,Q9NY47
P50151,Q01668
P50151,P54284
P50151,Q08289
P50151,Q9NY47
P50391,P41091
P50391,P31323
P50391,P54619
P50502,P11021
P50502,P54652
P50502,P11142
P50552,P17612
P50552,P60953
P50570,P35968
P50570,Q9Y6Y9
P50570,O00206
P50591,P42574
P50613,Q13315
P50613,P06493
P50748,Q96GD4
P50748,P36873
P50750,Q13315
P51153,P11233
P51452,P28482
P51452,P27361
P51532,P04150
P51532,P01574
P51617,O15111
P51636,P06241
P51671,P01112
P51677,P80075
P51681,P30405
P51681,P63096
P51692,P14784
P51692,P24385
P51692,P36888
P51692,P00533
P51692,P10721
P51692,P11274
P51692,P01100
P51692,P23458
P51692,P00519
P51692,P31785
P51692,P12004
P51692,P01589
P51787,P55011
P51787,P17612
P51805,P06241
P51812,P28482
P51812,P27361
P51812,P18848
P51812,P16220
P51828,Q05655
P51946,Q13315
P51946,P06493
P51948,Q13315
P51948,P06493
P52333,P14784
P52333,P60568
P52333,P42336
P52333,P17181
P52333,P00533
P52333,P51692
P52333,P06239
P52333,P23458
P52333,P06241
P52333,P31785
P52333,P01589
P52333,Q9UM73
P52333,Q14289
P52333,P10415
P52333,P27986
P52434,Q13315
P52435,Q13315
P52564,P15153
P52564,P63000
P52565,P17612
P52565,P63000
P52565,P60953
P52566,P17612
P52566,P05412
P52630,P17181
P52630,P23458
P52630,P48551
P52630,P01574
P52655,P04155
P52655,P01574
P52657,P04155
P52735,P15153
P52735,P63000
P52735,P20701
P52735,P43405
P52735,P05107
P52735,P60953
P52735,Q08881
P52797,P06241
P52797,P29317
P52798,P06241
P52798,P29317
P52803,P06241
P52803,P29317
P52907,P04150
P52907,P06401
P52907,P07900
P52907,P08238
P52907,P10275
P52945,P35557
P52945,P17612
P52945,P01308
P53350,Q96GD4
P53350,P36873
P53350,P06493
P53365,O14939
P53420,P00748
P53539,P42262
P53539,Q00535
P53539,P01106
P53667,P68133
P53708,P04004
P53778,P28482
P53778,P27361
P53778,P15336
P53778,P43403
P53778,P14598
P53778,P17676
P53778,P01100
P53778,P06401
P53778,Q92731
P53778,P49137
P53778,P05412
P53778,Q15080
P53778,P60953
P53778,P16220
P53778,P03372
P53778,P01106
P53779,P11233
P53779,P19838
P53779,P15153
P53779,Q04759
P53779,P15336
P53779,P49585
P53779,Q02156
P53779,P01100
P53779,P06401
P53779,Q92731
P53779,P63000
P53779,P05412
P53779,Q9Y5K3
P53779,Q05655
P53779,P10415
P53779,P60953
P53779,P03372
P53779,P01112
P53803,Q13315
P54284,P60880
P54284,P01308
P54619,P13569
P54619,P04035
P54619,O00763
P54619,Q13085
P54646,P13569
P54646,P04035
P54646,P17612
P54646,O00763
P54646,P42345
P54646,Q13085
P54710,P09601
P54710,Q08257
P54710,P16435
P54710,P09210
P54753,P63000
P54753,P00519
P54753,P60953
P54756,P00519
P54760,P00519
P54762,P63000
P54762,P00519
P54764,P00519
P54826,Q99835
P54829,P28482
P54829,P27361
P54840,P17612
P54840,P49841
P55010,P41091
P55010,O00303
P55011,P51787
P55011,P17612
P55055,O95477
P55075,P35968
P55075,P00533
P55075,P17948
P55075,P11362
P55085,P00734
P55103,Q04771
P55103,P36896
P55157,P02647
P55157,P02652
P55160,P15153
P55196,P01112
P55199,P50613
P55199,Q13315
P55210,P09874
P55210,P98170
P55211,O00459
P55211,P42336
P55211,P42338
P55211,P99999
P55211,P42574
P55211,P09874
P55211,P98170
P55211,O00329
P55211,P27986
P55211,O14727
P55211,P31749
P55268,P63000
P55268,P60953
P55273,P24385
P55273,P11802
P55273,Q00534
P55317,P24385
P55317,P04155
P55735,Q96GD4
P55735,P36873
P55957,P99999
P56159,P01112
P56199,P42336
P56199,P42574
P56199,P63000
P56199,P12931
P56199,P60953
P56199,P27986
P56278,P31749
P56279,P31749
P56282,P12004
P56539,P06241
P56545,Q9UJU2
P56704,P49841
P56945,P42336
P56945,P63000
P56945,P12931
P56945,P27986
P56975,P28482
P56975,P27361
P56975,P17252
P57723,P38936
P57730,P29466
P57740,Q96GD4
P57740,P36873
P57764,P29466
P57771,P63096
P57775,P63208
P58004,Q9Y478
P58004,O43741
P58166,Q04771
P58166,P36896
P58753,O00206
P58876|P62807,P24385
P58876|P62807,P07288
P58876|P62807,P07359
P58876|P62807,P10415
P58876|P62807,P01106
P59046,P19838
P59768,Q01668
P59768,P54284
P59768,Q08289
P59768,Q9NY47
P60484,O00459
P60484,P42336
P60484,P42338
P60484,O15111
P60484,O00329
P60484,P05556
P60484,Q13464
P60484,P27986
P60484,O14920
P60520,P17612
P60568,P14784
P60568,P51692
P60568,P23458
P60568,P31785
P60568,P01589
P60763,P11233
P60763,P19838
P60763,P42336
P60763,P42338
P60763,P41743
P60763,P06241
P60763,P00519
P60763,P12931
P60763,O00329
P60763,Q14289
P60763,Q9UN19
P60763,P42684
P60903,P00750
P60903,P00747
P60953,O00459
P60953,P35968
P60953,P42336
P60953,P42338
P60953,P41743
P60953,Q96GD4
P60953,P36873
P60953,P06241
P60953,P63000
P60953,P12931
P60953,O00329
P60953,Q05513
P60953,P27986
P61006,P11233
P61018,P62330
P61024,P63208
P61026,P11233
P61073,P63096
P61106,P11233
P61163,P04150
P61163,P06401
P61163,P07900
P61163,P08238
P61163,P10275
P61218,Q13315
P61224,P04049
P61224,P15056
P61224,P10398
P61224,P41743
P61224,P17612
P61224,P20701
P61224,P12931
P61224,Q05513
P61224,P05556
P61224,P05107
P61244,O14746
P61278,P30874
P61289,P01579
P61289,P01375
P61586,P11233
P61586,P28482
P61586,P15153
P61586,P04049
P61586,P27361
P61586,O14939
P61586,P17612
P61586,Q13393
P61586,P06241
P61586,P63000
P61586,P68133
P61586,P12931
P61586,P05556
P61586,Q14289
P61586,Q13464
P61586,P38936
P61764,P60880
P61812,P07585
P61925,P17612
P61952,Q01668
P61952,P54284
P61952,Q08289
P61952,P48736
P61952,Q9NY47
P61956,Q05513
P61964,P07359
P62070,P04049
P62070,O14939
P62070,P42336
P62070,P15056
P62070,P42338
P62070,P10398
P62070,Q02156
P62070,Q13393
P62070,O00329
P62136,Q01668
P62136,Q02156
P62136,Q7Z2W7
P62136,Q12879
P62136,Q13464
P62136,Q13224
P62140,Q01668
P62140,P42262
P62140,Q02156
P62140,Q7Z2W7
P62140,Q12879
P62140,Q13464
P62140,Q13224
P62330,O14939
P62330,Q13393
P62330,P63000
P62487,Q13315
P62491,P11233
P62714,P28482
P62714,P27361
P62714,Q96GD4
P62714,P36873
P62834,P04049
P62834,P15056
P62834,P10398
P62834,P41743
P62834,P17612
P62834,P20701
P62834,P12931
P62834,Q05513
P62834,P05556
P62834,P05107
P62873,P42336
P62873,Q01668
P62873,P48549
P62873,P08100
P62873,O43739
P62873,P54284
P62873,Q08289
P62873,P63000
P62873,Q92806
P62873,P12931
P62873,Q14289
P62873,P01112
P62873,Q99418
P62873,Q9NY47
P62873,P27986
P62873,P48544
P62873,P48051
P62875,Q13315
P62877,P63208
P62877,P61024
P62877,P38936
P62877,Q16665
P62877,P16471
P62879,Q01668
P62879,P48549
P62879,P54284
P62879,Q08289
P62879,Q92806
P62879,Q9NY47
P62879,P48544
P62879,P48051
P62942,P01137
P62942,P29590
P62942,P42345
P62979,P56282
P62979,Q07864
P62979,Q9NRF9
P62979,P12004
P62979,Q9NR33
P62987,P56282
P62987,Q07864
P62987,Q9NRF9
P62987,P12004
P62987,Q9NR33
P62993,P36888
P62993,P16234
P62993,P09619
P62993,P42336
P62993,P00533
P62993,P10721
P62993,P42338
P62993,P11274
P62993,P06213
P62993,P00519
P62993,P12931
P62993,P11362
P62993,Q08881
P62993,P01112
P62993,P27986
P62993,P31749
P63000,P11233
P63000,O00459
P63000,P19838
P63000,P42336
P63000,P42338
P63000,P14598
P63000,P41743
P63000,P62330
P63000,Q15078
P63000,Q13393
P63000,P06241
P63000,P68133
P63000,P19878
P63000,P00519
P63000,P12931
P63000,O00206
P63000,O00329
P63000,P04839
P63000,P05556
P63000,Q15080
P63000,Q14289
P63000,P60953
P63000,P21731
P63000,Q00535
P63000,Q9UN19
P63000,P42684
P63000,P27986
P63027,P60880
P63096,P01730
P63096,P28482
P63096,P41143
P63096,P60880
P63096,O75899
P63096,P27361
P63096,P42336
P63096,P51681
P63096,P07550
P63096,Q9H244
P63096,P30559
P63096,P06239
P63096,P13945
P63096,P63000
P63096,P30874
P63096,P48736
P63096,P14416
P63096,P08588
P63096,P21554
P63096,P12931
P63096,Q9UBS5
P63096,P24530
P63096,P01308
P63096,Q14289
P63096,P61073
P63096,P01112
P63096,P27986
P63165,Q05513
P63167,P04150
P63167,Q96GD4
P63167,P06401
P63167,P07900
P63167,P36873
P63167,P08238
P63167,P10275
P63208,P61024
P63208,P38936
P63208,P16471
P63211,P16499
P63211,P42336
P63211,Q01668
P63211,P08100
P63211,O43739
P63211,P54284
P63211,Q08289
P63211,P63000
P63211,P48736
P63211,P12931
P63211,Q14289
P63211,P01112
P63211,Q99418
P63211,Q9NY47
P63211,P35913
P63211,P27986
P63215,Q01668
P63215,P54284
P63215,Q08289
P63215,Q9NY47
P63218,Q01668
P63218,P54284
P63218,Q08289
P63218,Q9NY47
P63244,O15111
P63244,P98170
P63244,P01375
P63244,O14920
P63252,P25101
P63261,P10827
P63261,P42574
P63261,P60953
P63261,P17252
P63261,P05106
P63272,P50613
P63272,Q13315
P63272,P50750
P67775,P28482
P67775,P27361
P67775,Q96GD4
P67775,P36873
P67775,P31749
P67870,P25963
P68133,P42336
P68133,P63000
P68133,P12931
P68133,P60953
P68133,P27986
P68400,P25963
P68400,P05412
P78318,P42345
P78352,Q00535
P78368,Q99835
P78396,P38936
P78411,Q9NZV8
P78414,Q9NZV8
P78509,P00519
P78509,P05556
P78543,P24385
P78560,P17405
P80108,P84077
P80162,P25024
P80511,P19838
P80511,Q00653
P81274,P46663
P81274,P01031
P81274,P41143
P81274,P01024
P81274,Q99705
P81274,Q9NYV7
P81274,Q9H3N8
P81274,P49286
P81274,O75899
P81274,P41145
P81274,P30872
P81274,P08913
P81274,P61278
P81274,P47898
P81274,P51681
P81274,P35346
P81274,P25024
P81274,P48039
P81274,Q9H244
P81274,P28566
P81274,P08908
P81274,P30939
P81274,P49146
P81274,Q9Y5Y4
P81274,P59768
P81274,P41146
P81274,P63096
P81274,Q14330
P81274,Q7RTX0
P81274,P30874
P81274,P14416
P81274,Q9BXA5
P81274,P01019
P81274,P21554
P81274,P28222
P81274,P34972
P81274,P28221
P81274,Q8TE23
P81274,P04083
P81274,Q9UBS5
P81274,Q8TDS4
P81274,Q99527
P81274,P01189
P81274,P01303
P81274,P18825
P81274,P61073
P81274,P08172
P81274,P08173
P81274,P41180
P81274,P49019
P81274,P21462
P84022,P01137
P84022,P05121
P84022,P63208
P84022,P04070
P84022,P29074
P84022,P38936
P84022,P36896
P84022,P01106
P84077,O14939
P84077,O43739
P84077,Q13393
P84077,Q99418
P98077,P16234
P98077,P09619
P98077,P35968
P98077,P43403
P98077,P00533
P98077,Q16620
P98077,P10721
P98077,P11274
P98077,P06213
P98077,P06241
P98077,P00519
P98077,P12931
P98077,P43405
P98077,P11362
P98077,P04629
P98160,P05556
P98170,P42574
P98170,O14727
P98171,P63000
P98171,P01112
P98171,P84077
P98172,P63000
P98172,P54760
P98172,P60953
P98174,P60953
P98177,P28482
P98177,P27361
P98177,O15111
P98177,O14920
P98177,P31749
P99999,P42574
P99999,O14727
Q00403,P01574
Q00534,P24385
Q00534,P11802
Q00534,P00519
Q00534,Q13547
Q00534,P12004
Q00534,P38936
Q00535,P10636
Q00535,P06241
Q00535,P78352
Q00613,P07900
Q00613,P68104
Q00613,P08238
Q00613,P11142
Q00653,P01584
Q00653,O15111
Q00722,Q05655
Q00722,P41180
Q00978,P01100
Q00987,Q16665
Q00987,P31749
Q01094,P24385
Q01094,P04183
Q01094,P04818
Q01094,P31350
Q01094,P12004
Q01094,P01589
Q01094,P06493
Q01094,O14727
Q01130,P09012
Q01196,P60568
Q01196,P01579
Q01196,P17931
Q01196,Q04759
Q01196,Q13363
Q01196,P08700
Q01196,P07359
Q01196,Q13547
Q01196,P01589
Q01196,Q92769
Q01196,Q92570
Q01201,O15111
Q01344,P05113
Q01362,P04049
Q01362,P42336
Q01362,P01100
Q01362,P06241
Q01362,P05412
Q01362,P43405
Q01362,P27986
Q01362,P07948
Q01362,Q06187
Q01484,Q14643
Q01484,Q14573
Q01484,Q14571
Q01538,P06493
Q01664,P38936
Q01668,P60880
Q01668,P17612
Q01668,P36873
Q01668,P01308
Q01718,P01189
Q01726,P01189
Q01860,P09038
Q01955,P00748
Q01959,P05129
Q01959,P14416
Q01959,P17252
Q01970,Q05655
Q01970,P41180
Q02078,P05412
Q02078,P11474
Q02156,P28482
Q02156,P30405
Q02156,Q15842
Q02156,P04049
Q02156,O75762
Q02156,P27361
Q02156,P19634
Q02156,P21796
Q02156,P12235
Q02156,O60733
Q02156,P36873
Q02156,P05141
Q02156,P45880
Q02156,Q9H1R3
Q02156,P12236
Q02156,P01112
Q02156,Q9Y277
Q02156,Q8NER1
Q02223,Q9Y275
Q02224,Q96GD4
Q02224,P36873
Q02297,P28482
Q02297,P27361
Q02297,P00533
Q02410,P60880
Q02447,P38936
Q02750,P28482
Q02750,P04049
Q02750,P27361
Q02750,P15056
Q02750,P10398
Q02750,P17612
Q02750,Q05655
Q02930,P49841
Q03060,P10415
Q03112,Q13363
Q03112,Q13547
Q03112,Q92769
Q03113,O43739
Q03113,P37288
Q03113,P35368
Q03113,P25101
Q03113,P47901
Q03113,P25100
Q03113,P35348
Q03113,Q14289
Q03113,Q99418
Q03135,P06241
Q03164,P07359
Q03181,P10515
Q03181,P29803
Q03181,P11177
Q03181,P08559
Q03188,Q96GD4
Q03188,P36873
Q03405,P00749
Q04206,P25963
Q04206,P01137
Q04206,P13500
Q04206,P19838
Q04206,P24385
Q04206,Q08426
Q04206,P02647
Q04206,P15153
Q04206,P04049
Q04206,P01584
Q04206,P50416
Q04206,Q03403
Q04206,P04155
Q04206,Q15067
Q04206,P01100
Q04206,P17612
Q04206,P35228
Q04206,P63000
Q04206,P00403
Q04206,P02652
Q04206,P48163
Q04206,O15111
Q04206,P05412
Q04206,O00206
Q04206,P01574
Q04206,Q13464
Q04206,P01375
Q04206,O14920
Q04206,P01106
Q04724,P24385
Q04724,Q03181
Q04724,P01106
Q04759,P28482
Q04759,P27361
Q04759,O15111
Q04759,P01112
Q04759,O14920
Q04771,P12644
Q04917,P04049
Q04917,P06493
Q05193,P28482
Q05193,P04049
Q05193,P27361
Q05193,P48169
Q05193,Q16445
Q05193,Q9Y6Y9
Q05193,P00734
Q05193,P31644
Q05193,P01019
Q05193,P34903
Q05193,P12931
Q05193,O00206
Q05193,P09769
Q05193,P14867
Q05193,P08631
Q05195,O14746
Q05209,P01133
Q05209,P00533
Q05397,P28482
Q05397,O00459
Q05397,P16234
Q05397,P06756
Q05397,P09619
Q05397,P35916
Q05397,P27361
Q05397,P05129
Q05397,P35968
Q05397,P42336
Q05397,P00533
Q05397,P17948
Q05397,P42338
Q05397,P17612
Q05397,P06241
Q05397,P63000
Q05397,P12931
Q05397,P09769
Q05397,O00329
Q05397,P05556
Q05397,Q13464
Q05397,P60953
Q05397,P01112
Q05397,P17252
Q05397,P27986
Q05397,P07948
Q05397,P08631
Q05397,P05106
Q05469,Q9Y478
Q05469,O43741
Q05469,P31323
Q05469,Q9UGJ0
Q05469,P17612
Q05469,P54619
Q05469,Q13131
Q05469,P54646
Q05469,P10644
Q05469,Q9UGI9
Q05513,P28482
Q05513,P25963
Q05513,O00459
Q05513,P19838
Q05513,P27361
Q05513,P42336
Q05513,P42338
Q05513,P49841
Q05513,O00329
Q05513,P60953
Q05513,P27986
Q05513,P31749
Q05586,P17612
Q05586,P36873
Q05655,P28482
Q05655,O00459
Q05655,P04049
Q05655,P27361
Q05655,P42336
Q05655,P42338
Q05655,P25098
Q05655,O60733
Q05655,Q08462
Q05655,P12931
Q05655,O00329
Q05655,P01112
Q05655,P27986
Q05682,P28482
Q05682,P27361
Q05923,P28482
Q05923,P27361
Q06124,P28482
Q06124,P41240
Q06124,P01579
Q06124,P16234
Q06124,P09619
Q06124,P27361
Q06124,P17181
Q06124,P00533
Q06124,Q9Y6Y9
Q06124,P10721
Q06124,P06213
Q06124,P23458
Q06124,P06241
Q06124,P68133
Q06124,P12931
Q06124,O00206
Q06124,P43405
Q06124,P01574
Q06124,P01112
Q06124,P07948
Q06187,O15111
Q06187,P43405
Q06187,P01112
Q06187,P07948
Q06187,O14920
Q06323,P01579
Q06323,P01375
Q06330,P35916
Q06330,Q13363
Q06330,Q13547
Q06330,Q92769
Q06330,P01106
Q06413,P04150
Q06413,P68133
Q06413,P05412
Q06413,P11474
Q06710,P05129
Q06710,P17612
Q06710,P17252
Q06889,P48169
Q07343,P17612
Q07352,P49137
Q07812,P99999
Q07812,P17612
Q07812,P10415
Q07812,O14727
Q07817,P99999
Q07817,O14727
Q07817,P31749
Q07864,P12004
Q07869,P25963
Q07869,Q06520
Q07869,Q08426
Q07869,P02647
Q07869,P50416
Q07869,Q15067
Q07869,P00734
Q07869,P17612
Q07869,Q02928
Q07869,O43772
Q07869,P35228
Q07869,O60656
Q07869,P00403
Q07869,P01019
Q07869,P02652
Q07869,P48163
Q07869,P23786
Q07869,O95477
Q07869,P04798
Q07869,P13196
Q07869,P01375
Q07869,Q16881
Q07869,P01106
Q07889,P63000
Q07889,P01112
Q07890,P01112
Q07954,P02649
Q07960,P63000
Q07960,P01112
Q07960,P84077
Q08043,P42336
Q08043,P12931
Q08043,P27986
Q08116,P01730
Q08116,P06239
Q08116,P63096
Q08209,Q01668
Q08209,P29475
Q08211,P19838
Q08211,Q00653
Q08289,P60880
Q08289,P01308
Q08462,Q05655
Q08499,P17612
Q08722,P49747
Q08828,Q05655
Q08881,O00459
Q08881,P42336
Q08881,P42338
Q08881,P12931
Q08881,P09769
Q08881,O00329
Q08881,P27986
Q08881,P07948
Q08881,P08631
Q08945,Q13315
Q08999,P11802
Q08999,Q00534
Q08999,P36873
Q08999,P12004
Q08999,P06493
Q08999,P11388
Q09028,P12004
Q09028,P11388
Q09428,P17612
Q09472,P25963
Q09472,P24385
Q09472,P04150
Q09472,Q08426
Q09472,P07339
Q09472,P02647
Q09472,P01584
Q09472,P50416
Q09472,P04155
Q09472,Q15067
Q09472,P35558
Q09472,P07359
Q09472,P02652
Q09472,P48163
Q09472,Q16790
Q09472,P01574
Q09472,P17936
Q09472,P10415
Q09472,P38936
Q09472,P16220
Q09472,P01375
Q09472,P00338
Q09472,P08183
Q09472,P01106
Q12769,Q96GD4
Q12769,P36873
Q12772,Q14534
Q12772,O95749
Q12772,Q9UBM7
Q12772,Q13907
Q12772,P48449
Q12772,P01130
Q12774,P63000
Q12778,P28482
Q12778,P27361
Q12778,P17612
Q12778,O15111
Q12778,O14920
Q12778,P31749
Q12791,P17612
Q12797,P05412
Q12797,P16220
Q12797,Q16665
Q12824,P04150
Q12824,P01574
Q12834,Q96GD4
Q12834,P36873
Q12849,P36969
Q12879,P17612
Q12879,P36873
Q12913,P01730
Q12913,P06239
Q12931,Q99643
Q12931,P21912
Q12931,O14521
Q12933,O00459
Q12933,P42336
Q12933,P42338
Q12933,P42574
Q12933,P17405
Q12933,O15111
Q12933,O00329
Q12933,P27986
Q12933,O14920
Q12933,Q06187
Q12955,Q14643
Q12955,Q14573
Q12955,Q14571
Q12967,P11233
Q12967,P15153
Q12967,P63000
Q12967,P01112
Q12968,P49841
